"MovieName","Genre"
"3 Days to Kill","Action"
"6 Ways to Die","Thriller"
"8 Women","Comedy"
"10 Cloverfield Lane","Horror"
"10.5: Apocalypse","Adventure"
"13 Hours: The Secret Soldiers of Benghazi","Action"
"15 Minutes","Action"
"21 Grams","Drama"
"21 Jump Street","Action"
"22 Jump Street","Crime"
"28 Days Later...","Horror"
"28 Weeks Later","Horror"
"47 Ronin","Action"
"101 Dalmatians","Animation"
"101 Dalmatians II: Patch's London","Adventure"
"400 Days","Mystery"
"1408","Horror"
"1969","Drama"
"2010","Thriller"
"A Brilliant Young Mind","Drama"
"A Bug's Life","Family"
"A Christmas Carol","Animation"
"A Common Man","Action"
"A Good Day to Die Hard","Action"
"A Time to Kill","Thriller"
"Abandoned","Drama"
"About a Boy","Drama"
"About Time","Comedy"
"Absolon","Action"
"Absolutely Fabulous: The Movie","Comedy"
"Absolution","Thriller"
"Ace Ventura: Pet Detective","Comedy"
"Ace Ventura: When Nature Calls","Comedy"
"Addams Family Values","Comedy"
"Against the Sun","War"
"Air","Thriller"
"Airplane vs Volcano","Action"
"Aladdin","Animation"
"Aladdin and the King of Thieves","Animation"
"Algorithm","Thriller"
"Alice in Wonderland","Music"
"Alice Through the Looking Glass","Adventure"
"Alien Nation","Crime"
"Allied","Action"
"Alpha and Omega","Family"
"Ambushed","Action"
"American Beach House","Comedy"
"American Heist","Action"
"American Honey","Comedy"
"American Pie","Comedy"
"American Pie 2","Comedy"
"American Pie Presents: Band Camp","Comedy"
"American Pie Presents: Beta House","Comedy"
"American Pie Presents: The Book of Love","Comedy"
"American Pie Presents: The Naked Mile","Comedy"
"American Psycho","Drama"
"American Sniper","War"
"American Wedding","Comedy"
"Cupid's Balls","Comedy"
"An American Crime","Crime"
"An American Tail","Drama"
"Andron","Action"
"Angels & Demons","Thriller"
"The Angry Birds Movie","Action"
"Angry Video Game Nerd: The Movie","Science Fiction"
"Annie","Comedy"
"Another Stakeout","Action"
"Anthropoid","History"
"Apocalypse Pompeii","Adventure"
